id,product_id,property_type_id,value,,
311,53,21,Nhiều ca sĩ,,
312,53,22,Analog audio,,
313,53,23,"['Những đồi hoa sim','Phút cuối','Chiều cuối tuần','Kiếp cầm ca','Chuyện hẹn hò','Mưa rừng','Đồi thông hai mộ','Hoa nở về đêm','Chuyện giàn thiên lí','Phố buồn']",,
314,53,24,02-2009,,
315,53,25,Bolero,,
316,54,21,Nhiều ca sĩ,,
317,54,22,Analog audio,,
318,54,23,"['Rừng lá thay chưa','Căn nhà ngoại ô','Nhặt nắng','Chuyến tàu hoàng hôn','Sầu lẻ bóng','Chuyện hợp tan','Gặp nhau làm chi','Phố đêm','Đoạn buồn đêm mưa','Xa vắng']",,
319,54,24,02-2018,,
320,54,25,Bolero,,
321,55,21,Nhiều ca sĩ,,
322,55,22,Analog audio,,
323,55,23,"['Người ngoài phố','Cô hàng xóm','Dấu chân kỉ niệm','Không giờ rồi','Mưa nửa đêm','Đôi mắt người xưa','Nhật kí đời tôi','Tình yêu trả lại trăng sao','Đêm bơ vơ','Lại nhớ người yêu']",,
324,55,24,07-2016,,
325,55,25,Bolero,,
326,56,21,Nhiều ca sĩ,,
327,56,22,Analog audio,,
328,56,23,"['Dấu chân kỉ niệm','Chuyện giàn thiên lí','Nếu anh đừng hẹn','Tình như mây khói','Tấm ảnh không hồn','Đêm cuối','Sông quê','Đêm buồn tỉnh lẻ','Con đường xưa em đi','Nhớ về em']",,
329,56,24,05-2017,,
330,56,25,Bolero,,
331,57,21,Nhiều ca sĩ,,
332,57,22,Analog audio,,
333,57,23,"['Kiếp cầm ca','Nhớ người yêu',Đắp mộ cuộc tình','Trộm nhìn nhau','Anh biết em đi chẳng trở về','Phố đêm','Chuyện ba mùa mưa','Phố đêm','Cõi nhớ','Gửi về anh','Hoa sứ nhà nàng']",,
334,57,24,09-2018,,
335,57,25,Bolero,,
336,58,21,Bảo Yến,,
337,58,22,Analog audio,,
338,58,23,"['Thôi thế thì chia tay','Khúc Thụy Du','Chuyện hợp tan','Trong cuộc tình ân hận','Anh còn nợ em','Chuyện ba người','Biết đến bao giờ','Chiếc lá cuối cùng','Chiều hạ vắng','Cõi mộng']",,
339,58,24,07-2015,,
340,58,25,Bolero,,
341,59,21,Chế Linh,,
342,59,22,Asia,,
343,59,23,"['Giọt lệ sầu','Một lần cuối','Tình phũ','Mười năm tình cũ','Hận tình','Tình chết theo mùa đông','Nghẹn ngào','Thành phố mưa bay','Lời cuố cho người tình phụ']",,
344,59,24,03-2003,,
345,59,25,Bolero,,
346,60,21,Chế Linh,,
347,60,22,Asia,,
348,60,23,"['Chuyến đi về sáng','Thương hận','Con đường mang tên em','Xin yêu tôi bằng tình người','Đôi ngã đôi ta','Mai lỡ hai mình xa nhau','Nó','Tình chết theo mùa đông','Thuở ấy có em','Tình đời']",,
349,60,24,06-2005,,
350,60,25,Bolero,,
351,61,21,Duy Khánh,,
352,61,22,Vân Sơn,,
353,61,23,"['Đập vỡ cây đàn','Lời đắng cho cuộc tình','Qua cơn mê','Trường cũ tình xưa','Thương về miền Trung','Những chiều không có em','Linh hồn tượng đá','Mưa trên phố Huế']",,
354,61,24,07-2014,,
355,61,25,Bolero,,
356,62,21,Giang Trang,,
357,62,22,TCS Records,,
358,62,23,"['Rừng xưa đã khép','Như tiếng thở dài','Ru đời đi nhé','Vườn xưa','Lời thiên thu gọi','Đời cho ta thế','Tuổi đá buồn','Góp lá mùa xuân','Mưa hồng']",,
359,62,24,11-2009,,
360,62,25,Nhạc vàng,,
361,63,21,Hương Lan & Thái Châu,,
362,63,22,HLTC Entertainment,,
363,63,23,"['Chuyện hẹn hò','Thu sầu','Sầu lẻ bóng','Đà Lạt hoàng hôn','Không bao giờ quên anh','Tà áo cưới','Nỗi buồn hoa phượng','Đường xưa lối cũ']",,
364,63,24,09-2012,,
365,63,25,Bolero,,
366,64,21,Nhiều ca sĩ,,
367,64,22,TranThienThanh,,
368,64,23,"['LK Tạ từ trong đêm','Hàn Mặc Tử','Chuyện hẹn hò','Khi người yêu tôi khóc','Hoa trinh nữ','Yêu người như thế đó','Lâu đài tình ái','Mùa đông của anh']",,
369,64,24,06-2011,,
370,64,25,Bolero,,
371,65,21,Hoàng Oanh,,
372,65,22,Analog audio,,
373,65,23,"['Mong chờ','Sao chưa thấy hồi âm','Một người đi','Sầu lẻ bóng','Về đâu mái tóc người thương','Tình yêu trả lại trăng sao','Hương bình lưu luyến','Những đồi hoa sim']",,
374,65,24,03-2015,,
375,65,25,Bolero,,
376,66,21,Hoàng Oanh,,
377,66,22,Analog audio,,
378,66,23,"['Xin thời gian qua mau','Nhớ nhau hoài','Người ngoài phố','Chuyến đi về sáng','Lòng mẹ','Chuyến đò vĩ tuyến','Những đóm mắt hòa châu','Chuyện tình Lan và Điệp','Để trả lời một câu hỏi']",,
379,66,24,08-2008,,
380,66,25,Bolero,,
381,67,21,Khánh Ly,,
382,67,22,Thúy Nga,,
383,67,23,"['Diễm xưa','Hạ trắng','Ru em từng ngón xuân nồng','Chiều một mình qua phố','Nghe những tàn phai','Cát bụi','Tình xa','Một cõi đi về','Tôi ru em ngủ','Còn tuổi nào cho em']",,
384,67,24,04-2001,,
385,67,25,Nhạc vàng,,
386,68,21,Khánh Ly,,
387,68,22,Vân Sơn,,
388,68,23,"['Hoa vàng mây đỏ','Em còn nhớ hay em đã quên','Môi hồng đàoo','Em đi bỏ mặc con đường','Tình sầu','Dấu chân địa đàng','Thương một người','Ướt mi']",,
389,68,24,05-2006,,
390,68,25,Bolero,,
391,69,21,Nhiều ca sĩ,,
392,69,22,Analog audio,,
393,69,23,"['Một đời quên lãng','Kiếp dã tràng','Vết lăn trầm','Xóm đêm','Trong nỗi nhớ muộn màng','Trên ngọn tình sầu','Đừng xa em đêm nay','Đêm nằm mơ phố']",,
394,69,24,07-2014,,
395,69,25,Bolero,,
396,70,21,Nhiều ca sĩ,,
397,70,22,Analog audio,,
398,70,23,"['Em ơi Hà Nội phố','Sa mạc tình yêu','Gọi em là đóa hoa sầu','Bài không tên số 3','Miền khúc','Em còn nhớ hay em đã quên','Bài ca hành ngõ','Tình khúc cho em','Tôi với trời bơ vơ','Trở về bến mơ']",,
399,70,24,05-2015,,
400,70,25,Bolero,,
401,71,21,Nhiều ca sĩ,,
402,71,22,Analog audio,,
403,71,23,"['Chiều mưa biên giới','Mong chờ','Nó','Nỗi buồn gác trọ','Nỗi buồn hoa phượng','Xuân này con không về','Nửa đêm ngoài phố','Ngày trở vè']",,
404,71,24,04-2016,,
405,71,25,Bolero,,
406,72,21,Lam Anh,,
407,72,22,Analog audio,,
408,72,23,"['Chờ thêm một đời','Còn nguyên vết thương sâu','Em của ngày xưa khác rồi','Hương ngọc lan','Lạc nhau có phải muôn đời','Muộn màng','Sau tất cả','Phố mùa đông']",,
409,72,24,08-2020,,
410,72,25,Bolero,,
411,73,21,Lệ Quyên,,
412,73,22,Thúy Nga,,
413,73,23,"['Hoa nở về đêm','Đêm tâm sự','Chuyến tàu hoàng hôn','Sương lạnh chiều đông','Chiều cuối tuần','Ai cho tôi tình yêu','Câu chuyện đầu năm','Người đi ngoài phố','Tình yêu trả lại trăng sao','Cho vừa lòng em']",,
414,73,24,04-2010,,
415,73,25,Bolero,,
416,74,21,Lệ Quyên,,
417,74,22,Thúy Nga,,
